genome	region	cds_before	cds_after	cds_delta	product_before	product_after	family_before	family_after
Pantoea_ananatis_PANS_04-2	NMZV01000006.1.region001.gbk	26	26	0	phosphonate	phosphonate		2
Pantoea_ananatis_PANS_1_2	JABDYR010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_PANS_1_5	JABDYS010000005.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_PANS_1_6	JABDYT010000004.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_PANS_200_2	JABDZC010000001.1.region001.gbk	24	24	0	phosphonate	phosphonate		3
Pantoea_ananatis_PANS_200_2	JABDZC010000004.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_PANS_2_1	JABDYW010000005.1.region001.gbk	27	27	0	phosphonate	phosphonate		2
Pantoea_ananatis_PANS_2_1	JABDYW010000008.1.region001.gbk	12	12	0	phosphonate	phosphonate		1
Pantoea_ananatis_PANS_2_5	JABDYX010000001.1.region001.gbk	25	25	0	phosphonate	phosphonate		3
Pantoea_ananatis_PANS_2_5	JABDYX010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_PANS_2_6	JABDYY010000005.1.region001.gbk	12	12	0	phosphonate	phosphonate		2
Pantoea_ananatis_PANS_2_7	JABDYZ010000001.1.region001.gbk	25	25	0	phosphonate	phosphonate		3
Pantoea_ananatis_PANS_2_7	JABDYZ010000004.1.region001.gbk	12	12	0	phosphonate	phosphonate		2
Pantoea_ananatis_PANS_2_8	JABDZA010000001.1.region001.gbk	25	25	0	phosphonate	phosphonate		3
Pantoea_ananatis_PANS_2_8	JABDZA010000004.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_PANS_4_2	JABDZD010000005.1.region001.gbk	12	12	0	phosphonate	phosphonate		1
Pantoea_ananatis_PANS_4_2	JABDZD010000007.1.region001.gbk	25	25	0	phosphonate	phosphonate		2
Pantoea_ananatis_PANS_99-3	NMZR01000002.1.region001.gbk	30	30	0	phosphonate	phosphonate		2
Pantoea_ananatis_PANS_99_11	JABDZE010000001.1.region001.gbk	27	27	0	phosphonate	phosphonate		3
Pantoea_ananatis_PANS_99_11	JABDZE010000004.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_PANS_99_25	JABDZH010000004.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_PANS_99_29	JABDZK010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_PANS_99_31	JABDZL010000010.1.region001.gbk	10	10	0	phosphonate	phosphonate		2
Pantoea_ananatis_PANS_99_31	JABDZL010000075.1.region001.gbk	28	28	0	phosphonate	phosphonate		3
Pantoea_ananatis_PANS_99_32	JABDZM010000004.1.region001.gbk	12	12	0	phosphonate	phosphonate		2
Pantoea_ananatis_PANS_99_33	JABDZN010000003.1.region001.gbk	12	12	0	phosphonate	phosphonate		2
Pantoea_ananatis_PANS_99_4	JABDZP010000003.1.region001.gbk	29	29	0	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_02_12	JABDZS010000006.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_03_1	JABDZT010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_05_1	JABDZV010000007.1.region001.gbk	12	12	0	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_06_4	JABDZW010000004.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_07-1	QICU01000004.1.region001.gbk	13	13	0	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_07-10	QTTO01000005.1.region001.gbk	13	13	0	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_07_1	JABDZX010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_07_10	JABDZY010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_07_13	JABDZZ010000004.1.region001.gbk	12	12	0	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_07_14	JABEAA010000005.1.region001.gbk	27	27	0	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_07_5	JABEAC010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_07_7	JABEAD010000005.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_08_1	JABEAE010000005.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_13_1	JABEAG010000006.1.region001.gbk	8	8	0	phosphonate	phosphonate		4
Pantoea_ananatis_PNA_15-1	NMZZ01000004.1.region001.gbk	12	12	0	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_15_1	JABEAI010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_18_1	JABEAK010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_18_2	JABEAN010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_18_3S	JABEAO010000004.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_18_5	JABEAP010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_18_5S	JABEAQ010000011.1.region001.gbk	10	10	0	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_18_7S	JABEAS010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_18_9S	JABEAU010000054.1.region001.gbk	4	4	0	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_200-7	QGGN01000004.1.region001.gbk	13	13	0	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_200_10	JABEAV010000002.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_200_11	JABEAW010000005.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_200_12	JABEAX010000006.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_200_7	JABEAZ010000003.1.region001.gbk	12	12	0	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_92_7	JABEBB010000005.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_97-1R	CP020943.2.region001.gbk	12	12	0	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_97_11	JABEBC010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_97_3	JABEBD010000003.1.region001.gbk	12	12	0	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_98-11	QGTO01000003.1.region001.gbk	32	31	-1	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_98_2	JABEBH010000003.1.region001.gbk	28	28	0	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_98_7	JABEBJ010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_98_8	JABEBK010000004.1.region001.gbk	12	12	0	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_99_1	JABEBL010000005.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_99_14	JABEBM010000004.1.region001.gbk	12	12	0	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_99_2	JABEBN010000004.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_99_3	JABEBO010000003.1.region001.gbk	28	28	0	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_99_6	JABEBP010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_99_7	JABEBQ010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_99_8	JABEBR010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_PNA_99_9	JABEBS010000011.1.region001.gbk	12	12	0	phosphonate	phosphonate		2
Pantoea_ananatis_PP094-PanT1S3	JBYHZF010000005.1.region001.gbk	8	8	0	phosphonate	phosphonate		2
Pantoea_ananatis_PP099-PanT13S3	JBYHZE010000001.1.region001.gbk	12	12	0	phosphonate	phosphonate		2
Pantoea_ananatis_PP099-PanT13S3	JBYHZE010000001.1.region002.gbk	11	11	0	phosphonate	phosphonate		1
Pantoea_ananatis_PP105	JBYHZO010000002.1.region001.gbk	26	26	0	phosphonate	phosphonate		3
Pantoea_ananatis_PP105	JBYHZO010000002.1.region002.gbk	12	12	0	phosphonate	phosphonate		2
Pantoea_ananatis_PaMB1	JQZZ01000144.1.region001.gbk	10	10	0	phosphonate	phosphonate		1
Pantoea_ananatis_R100	CP014207.1.region001.gbk	12	12	0	phosphonate	phosphonate		2
Pantoea_ananatis_RP1	CM188849.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_S7	CVNG01000056.1.region001.gbk	16	16	0	phosphonate	phosphonate		2
Pantoea_ananatis_SK-1	CM168046.1.region001.gbk	31	30	-1	phosphonate	phosphonate		2
Pantoea_ananatis_TE32200	JBSSGC010000003.1.region001.gbk	13	13	0	phosphonate	phosphonate		2
Pantoea_ananatis_USHLN198	JBBCYJ010000002.1.region001.gbk	25	25	0	phosphonate	phosphonate		3
Pantoea_ananatis_USHLN198	JBBCYJ010000004.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_USHLN34	JBBCZL010000001.1.region001.gbk	26	26	0	phosphonate	phosphonate		3
Pantoea_ananatis_USHLN34	JBBCZL010000002.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_VY148	CP086009.1.region001.gbk	12	12	0	phosphonate	phosphonate		2
Pantoea_ananatis_VY148	CP086009.1.region002.gbk	27	27	0	phosphonate	phosphonate		3
Pantoea_ananatis_YJ76	CP022427.1.region001.gbk	13	13	0	phosphonate	phosphonate		5
