genome	region	cds_before	cds_after	cds_delta	product_before	product_after	family_before	family_after
Pantoea_ananatis_18-5	JALKJT010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_18-5S	JALKJU010000001.1.region001.gbk	10	10	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_18-7S	JALKKZ010000002.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_19-13	JALKKK010000002.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_19-20	JALKIQ010000056.1.region001.gbk	10	10	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_19-8	JALKJD010000001.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_2-1	JALKKS010000005.1.region001.gbk	27	27	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_2-1	JALKKS010000009.1.region001.gbk	11	11	0	phosphonate	phosphonate	6	5
Pantoea_ananatis_2-5	JALKKJ010000001.1.region001.gbk	25	25	0	phosphonate	phosphonate	5	4
Pantoea_ananatis_2-5	JALKKJ010000003.1.region001.gbk	12	12	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_2-6	JALKLQ010000001.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_2-7	JALKLR010000001.1.region001.gbk	25	25	0	phosphonate	phosphonate	5	4
Pantoea_ananatis_2-7	JALKLR010000003.1.region001.gbk	12	12	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_2-8	JALKJK010000001.1.region001.gbk	25	25	0	phosphonate	phosphonate	5	4
Pantoea_ananatis_2-8	JALKJK010000004.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_200-10	JALKJW010000002.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_200-11	JALKJX010000006.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_200-12	JALKJY010000008.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_200-2	JALKKN010000001.1.region001.gbk	25	25	0	phosphonate	phosphonate	5	4
Pantoea_ananatis_200-2	JALKKN010000004.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_200-7	JALKJZ010000005.1.region001.gbk	12	12	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_20NY0427	JBQOUP010000011.1.region001.gbk	10	12	2	phosphonate	phosphonate	2	2
Pantoea_ananatis_20NY0487	JBQOUQ010000003.1.region001.gbk	10	12	2	phosphonate	phosphonate	2	2
Pantoea_ananatis_20PA0260	JBQOUR010000003.1.region001.gbk	10	12	2	phosphonate	phosphonate	2	2
Pantoea_ananatis_20TX0087	JAKZMT010000004.1.region001.gbk	10	12	2	phosphonate	phosphonate	2	2
Pantoea_ananatis_20WA0254	JBQOUT010000004.1.region001.gbk	10	12	2	phosphonate	phosphonate	2	2
Pantoea_ananatis_26SR6	JXUJ01000033.1.region001.gbk	11	12	1	phosphonate	phosphonate	2	2
Pantoea_ananatis_31npA-Arg1	CM152815.1.region001.gbk	10	12	2	phosphonate	phosphonate	2	2
Pantoea_ananatis_4-1	JALKJF010000007.1.region001.gbk	7	7	0	phosphonate	phosphonate	6	5
Pantoea_ananatis_4-2	JALKIU010000004.1.region001.gbk	12	12	0	phosphonate	phosphonate	6	5
Pantoea_ananatis_4-2	JALKIU010000007.1.region001.gbk	25	25	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_4.2	JAUHJV010000003.1.region001.gbk	10	12	2	phosphonate	phosphonate	2	2
Pantoea_ananatis_92-7	JALKKA010000005.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_97-11	JALKLS010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_97-2	JALKKI010000004.1.region001.gbk	12	12	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_97-3	JALKKY010000002.1.region001.gbk	12	12	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_98-1	JALKLT010000002.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_98-11	JALKKB010000003.1.region001.gbk	27	27	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_98-12	JALKKC010000004.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_98-2	JALKKD010000002.1.region001.gbk	28	28	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_98-7	JALKKX010000004.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_98-8	JALKKE010000006.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_99-1	JALKKF010000005.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_99-10	JALKIR010000004.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_99-11	JALKMA010000003.1.region001.gbk	25	25	0	phosphonate	phosphonate	5	4
Pantoea_ananatis_99-11	JALKMA010000009.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_99-12	JALKLZ010000006.1.region001.gbk	12	12	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_99-12	JALKLZ010000016.1.region001.gbk	23	23	0	phosphonate	phosphonate	5	4
Pantoea_ananatis_99-14	JALKLU010000003.1.region001.gbk	12	12	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_99-14_2	JALKMB010000001.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_99-18	JALKJJ010000001.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_99-2	JALKLV010000004.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_99-25	JALKLC010000006.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_99-27	JALKLD010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_99-29	JALKLE010000002.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_99-3	JALKLP010000004.1.region001.gbk	29	29	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_99-31	JALKLF010000010.1.region001.gbk	12	12	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_99-31	JALKLF010000062.1.region001.gbk	28	28	0	phosphonate	phosphonate	5	4
Pantoea_ananatis_99-32	JALKLG010000003.1.region001.gbk	12	12	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_99-33	JALKJN010000004.1.region001.gbk	12	12	0	phosphonate	phosphonate	2	2
